M4id,Date,Value
,,
H99,7/1/15,18246
,,
H99,7/1/15,20938
,,
H99,7/1/15,17816
,,
H99,7/1/15,16862
,,
H99,7/1/15,15763
,,
H99,7/1/15,14444
,,
H99,7/1/15,13809
,,
H99,7/1/15,13435
,,
H99,7/1/15,13144
,,
H99,7/1/15,13147
,,
H99,7/1/15,13771
,,
H99,7/1/15,14635
,,
H99,8/1/15,15545
,,
H99,8/1/15,16448
,,
H99,8/1/15,17865
,,
H99,8/1/15,18554
,,
H99,8/1/15,19391
,,
H99,8/1/15,19766
,,
H99,8/1/15,20204
,,
H99,8/1/15,20246
,,
H99,8/1/15,20585
,,
H99,8/1/15,20089
,,
H99,8/1/15,19849
,,
H99,8/1/15,19256
,,
H99,8/1/15,18691
,,
H99,8/1/15,18233
,,
H99,8/1/15,18252
,,
H99,8/1/15,16872
,,
H99,8/1/15,15582
,,
H99,8/1/15,14478
,,
H99,8/1/15,13546
,,
H99,8/1/15,13247
,,
H99,8/1/15,13103
,,
H99,8/1/15,13241
,,
H99,8/1/15,13337
,,
H99,8/1/15,14106
,,
H99,9/1/15,15132
,,
H99,9/1/15,16023
,,
H99,9/1/15,16564
,,
H99,9/1/15,16964
,,
H99,9/1/15,17718
,,
H99,9/1/15,18076
,,
H99,9/1/15,18184
,,
H99,9/1/15,18265
,,
H99,9/1/15,18217
,,
H99,9/1/15,18709
,,
H99,9/1/15,18841
,,
H99,9/1/15,17899
,,
H99,9/1/15,17446
,,
H99,9/1/15,17193
,,
H99,9/1/15,17085
,,
H99,9/1/15,15774
,,
H99,9/1/15,14715
,,
H99,9/1/15,13636
,,
H99,9/1/15,12688
,,
H99,9/1/15,12247
,,
H99,9/1/15,11948
,,
H99,9/1/15,11990
,,
H99,9/1/15,12253
,,
H99,9/1/15,12544
,,
H99,10/1/15,12834
,,
H99,10/1/15,13737
,,
H99,10/1/15,14547
,,
H99,10/1/15,15235
,,
H99,10/1/15,15999
,,
H99,10/1/15,16407
,,
H99,10/1/15,16529
,,
H99,10/1/15,16990
,,
H99,10/1/15,17068
,,
H99,10/1/15,17246
,,
H99,10/1/15,17023
,,
H99,10/1/15,16725
,,
H99,10/1/15,16253
,,
H99,10/1/15,16137
,,
H99,10/1/15,16080
,,
H99,10/1/15,14898
,,
H99,10/1/15,14331
,,
H99,10/1/15,13594
,,
H99,10/1/15,12938
,,
H99,10/1/15,12735
,,
H99,10/1/15,12524
,,
H99,10/1/15,12278
,,
H99,10/1/15,12483
,,
H99,10/1/15,12761
,,
H99,11/1/15,13317
,,
H99,11/1/15,13915
,,
H99,11/1/15,14671
,,
H99,11/1/15,15598
,,
H99,11/1/15,15773
,,
H99,11/1/15,16104
,,
H99,11/1/15,16164
,,
H99,11/1/15,16134
,,
H99,11/1/15,16295
,,
H99,11/1/15,16531
,,
H99,11/1/15,16424
,,
H99,11/1/15,15848
,,
H99,11/1/15,15557
,,
H99,11/1/15,15461
,,
H99,11/1/15,15184
,,
H99,11/1/15,15081
,,
H99,11/1/15,14161
,,
H99,11/1/15,13526
,,
H99,11/1/15,12757
,,
H99,11/1/15,12352
,,
H99,11/1/15,12156
,,
H99,11/1/15,12140
,,
H99,11/1/15,12026
,,
H99,11/1/15,11867
,,
H99,12/1/15,12511
,,
H99,12/1/15,13750
,,
H99,12/1/15,14458
,,
H99,12/1/15,15491
,,
H99,12/1/15,16480
,,
H99,12/1/15,17006
,,
H99,12/1/15,17663
,,
H99,12/1/15,17668
,,
H99,12/1/15,17830
,,
H99,12/1/15,18027
,,
H99,12/1/15,18183
,,
H99,12/1/15,17727
,,
H99,12/1/15,17658
,,
H99,12/1/15,17603
,,
H99,12/1/15,17822
,,
H99,12/1/15,16879
,,
H99,12/1/15,15136
,,
H99,12/1/15,14136
,,
H99,12/1/15,13710
,,
H99,12/1/15,13237
,,
H99,12/1/15,12742
,,
H99,12/1/15,12946
,,
H99,12/1/15,13475
,,
H99,12/1/15,14219
,,
H99,13/1/15,15613
,,
H99,13/1/15,17266
,,
H99,13/1/15,18478
,,
H99,13/1/15,19494
,,
H99,13/1/15,20102
,,
H99,13/1/15,20443
,,
H99,13/1/15,20544
,,
H99,13/1/15,21165
,,
H99,13/1/15,22207
,,
H99,13/1/15,22425
,,
H99,13/1/15,22088
,,
H99,13/1/15,21081
,,
H99,13/1/15,20580
,,
H99,13/1/15,20314
,,
H99,13/1/15,20140
,,
H99,13/1/15,19008
,,
H99,13/1/15,17351
,,
H99,13/1/15,15588
,,
H99,13/1/15,14910
,,
H99,13/1/15,14672
,,
H99,13/1/15,14355
,,
H99,13/1/15,14724
,,
H99,13/1/15,15078
,,
H99,13/1/15,16194
,,
H99,14/1/15,17446
,,
H99,14/1/15,19002
,,
H99,14/1/15,20362
,,
H99,14/1/15,21513
,,
H99,14/1/15,22651
,,
H99,14/1/15,23322
,,
H99,14/1/15,24213
,,
H99,14/1/15,24644
,,
H99,14/1/15,24162
,,
H99,14/1/15,24175
,,
H99,14/1/15,24134
,,
H99,14/1/15,23543
,,
H99,14/1/15,23070
,,
H99,14/1/15,22677
,,
H99,14/1/15,22109
,,
H99,14/1/15,20346
,,
H99,14/1/15,17963
,,
H99,14/1/15,16342
,,
H99,14/1/15,15296
,,
H99,14/1/15,15048
,,
H99,14/1/15,15076
,,
H99,14/1/15,15138
,,
H99,14/1/15,15502
,,
H99,14/1/15,16329
,,
H99,15/1/15,17525
,,
H99,15/1/15,18531
,,
H99,15/1/15,19812
,,
H99,15/1/15,20207
,,
H99,15/1/15,21337
,,
H99,15/1/15,21872
,,
H99,15/1/15,22183
,,
H99,15/1/15,22325
,,
H99,15/1/15,22420
,,
H99,15/1/15,22436
,,
H99,15/1/15,22025
,,
H99,15/1/15,21492
,,
H99,15/1/15,21016
,,
H99,15/1/15,20807
,,
H99,15/1/15,19990
,,
H99,15/1/15,18636
,,
H99,15/1/15,16832
,,
H99,15/1/15,15096
,,
H99,15/1/15,14145
,,
H99,15/1/15,13587
,,
H99,15/1/15,13116
,,
H99,15/1/15,12943
,,
H99,15/1/15,13299
,,
H99,15/1/15,14062
,,
H99,16/1/15,15402
,,
H99,16/1/15,16718
,,
H99,16/1/15,18419
,,
H99,16/1/15,18823
,,
H99,16/1/15,19178
,,
H99,16/1/15,19056
,,
H99,16/1/15,19510
,,
H99,16/1/15,19843
,,
H99,16/1/15,20216
,,
H99,16/1/15,20720
,,
H99,16/1/15,20786
,,
H99,16/1/15,20144
,,
H99,16/1/15,18963
,,
H99,16/1/15,18801
,,
H99,16/1/15,18195
,,
H99,16/1/15,17169
,,
H99,16/1/15,16199
,,
H99,16/1/15,14740
,,
H99,16/1/15,13788
,,
H99,16/1/15,13484
,,
H99,16/1/15,13416
,,
H99,16/1/15,13746
,,
H99,16/1/15,13895
,,
H99,16/1/15,14772
,,
H99,17/1/15,15718
,,
H99,17/1/15,17090
,,
H99,17/1/15,17783
,,
H99,17/1/15,18632
,,
H99,17/1/15,19337
,,
H99,17/1/15,19566
,,
H99,17/1/15,19998
,,
H99,17/1/15,19936
,,
H99,17/1/15,20236
,,
H99,17/1/15,20523
,,
H99,17/1/15,20686
,,
H99,17/1/15,20478
,,
H99,17/1/15,19724
,,
H99,17/1/15,19053
,,
H99,17/1/15,18616
,,
H99,17/1/15,17327
,,
H99,17/1/15,16033
,,
H99,17/1/15,14793
,,
H99,17/1/15,13745
,,
H99,17/1/15,13226
,,
H99,17/1/15,12862
,,
H99,17/1/15,12643
,,
H99,17/1/15,12598
,,
H99,17/1/15,13269
,,
H99,18/1/15,14146
,,
H99,18/1/15,15251
,,
H99,18/1/15,16162
,,
H99,18/1/15,17330
,,
H99,18/1/15,18256
,,
H99,18/1/15,18297
,,
H99,18/1/15,18909
,,
H99,18/1/15,19390
,,
H99,18/1/15,20076
,,
H99,18/1/15,20296
,,
H99,18/1/15,20531
,,
H99,18/1/15,20392
,,
H99,18/1/15,19884
,,
H99,18/1/15,18749
,,
H99,18/1/15,18107
,,
H99,18/1/15,17520
,,
H99,18/1/15,16347
,,
H99,18/1/15,15467
,,
H99,18/1/15,14106
,,
H99,18/1/15,13584
,,
H99,18/1/15,13447
,,
H99,18/1/15,13327
,,
H99,18/1/15,13028
,,
H99,18/1/15,13372
,,
H99,19/1/15,13910
,,
H99,19/1/15,14963
,,
H99,19/1/15,16185
,,
H99,19/1/15,17304
,,
H99,19/1/15,18215
,,
H99,19/1/15,18877
,,
H99,19/1/15,19532
,,
H99,19/1/15,20129
,,
H99,19/1/15,20591
,,
H99,19/1/15,20869
,,
H99,19/1/15,20918
,,
H99,19/1/15,20729
,,
H99,19/1/15,20581
,,
H99,19/1/15,20284
,,
H99,19/1/15,19723
,,
H99,19/1/15,18779
,,
H99,19/1/15,16989
,,
H99,19/1/15,15648
,,
H99,19/1/15,14694
,,
H99,19/1/15,14062
,,
H99,19/1/15,14008
,,
H99,19/1/15,13798
,,
H99,19/1/15,14377
,,
H99,19/1/15,15643
,,
H99,20/1/15,17135
,,
H99,20/1/15,18773
,,
H99,20/1/15,20453
,,
H99,20/1/15,21452
,,
H99,20/1/15,21670
,,
H99,20/1/15,21668
,,
H99,20/1/15,21933
,,
